Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
33750	580	518	142	0	45	0	12	1143627	128	31	74	0	7	466705	0	1126400	52	680507	26	679934	1021940
34000	404	484	0	55	4	0	0	1118952	132	69	0	0	3	438944	0	1120067	7	700838	14	675597	1023699
34250	422	492	227	1	3	12	0	1227479	154	92	0	0	11	455874	0	1126472	20	707963	0	655838	1040160
34500	521	516	272	0	21	0	0	1194768	120	51	0	0	35	458089	24	1160662	8	721543	0	688197	1046073
34750	493	575	263	33	32	0	12	1172179	2834	63	0	0	8	479711	0	1155121	6	730131	14	752708	1047241
35000	430	384	263	0	14	0	0	1209405	154	43	13	12	4	469117	12	1161548	95	813420	0	692465	1041389
35250	566	262	287	0	1	0	0	1207250	124	24	0	0	5	480451	0	1175924	7	806015	0	711483	1056390
35500	427	480	288	1	57	0	0	1211014	165	59	22	0	8	513083	0	1189312	6	1026116	0	729939	1063637
35750	469	560	76	0	2	0	0	1241295	193	29	0	0	6	529925	0	1200004	29	1408574	12	686716	1035365
36000	470	646	112	0	2	0	0	1233298	141	112	0	0	22	514995	51	1177773	18	1523049	0	671247	1077902
36250	523	511	269	15	2	49	0	1214607	222	30	0	0	4	502090	0	1217748	7	1001195	0	973942	1090571
36500	530	487	278	14	53	0	9	1230656	139	112	0	0	7	504486	0	1231912	47	718704	0	703367	1126409
36750	457	512	294	2	44	0	0	1249686	179	17	0	0	7	514117	24	1203025	18	769090	0	710190	1109375
37000	429	574	279	64	2	0	0	1227397	112	153	37	0	3	567293	12	1220116	19	760389	0	849357	1109629
37250	571	568	332	0	3	0	0	1257394	141	18	0	0	5	538274	36	1257105	34	766295	23	723302	1129968
37500	484	611	205	13	30	25	0	1270834	109	22	0	0	363	514874	39	1266500	19	809809	0	719376	1138911
